Claim,Evidence,label
We should subsidize biofuels,"On February 3, 2010, EPA issued its final ruling regarding the RFS2 for 2010 and beyond,[REF] and determined that Brazilian ethanol produced from sugarcane complies with the applicable 50% GHG reduction threshold for the advanced fuel category [REF]. EPA's modelling shows that sugarcane ethanol from Brazil reduces greenhouse gas emissions as compared to gasoline by 61%, using a 30-year payback for indirect land use change (ILUC) emissions [REF",1
We should prohibit flag burning,"In June 2003, he voted against a Constitutional amendment to prohibit the physical ""desecration"" of the flag of the United States [REF].",1
Suicide should be a criminal offence,An ongoing study has also suggested that high use of the Internet may cause suicides [REF].,0
Single-sex schools should be banned,Coeducation at Princeton University refers to the transition of Princeton University from being a single-sex education university which only admitted males to being a mixed-sex education university.,0
We should limit executive compensation,"The backdating allegedly occurred with the knowledge and approval of the directors, including Kean, who sat on the company's compensation committee during three crucial years, according to the Journal.",0
We should prohibit tower blocks,"In January 2007, Miller criticized an Ontario Municipal Board decision which allowed a high-rise project on Queen Street West.",0
We should abolish temporary employment,"As a result of the legal and tax rulings, human resources organizations at many companies changed their policies towards temporary employees.",0
We should subsidize biofuels,Fargione and his team published a separate paper in the same issue of Sciencexpress claiming that clearing lands to produce biofuel feedstock created a carbon deficit.,1
We should adopt open source software,"Members of the Open Source Movement stress the importance of differentiating between ""open source"" software and ""free software"".",0
We should abolish the US Electoral College,"People's National Party leader Meli Bogileka said that the whole purpose of identity cards would be defeated if electors without them were allowed to vote, and considered their introduction a waste of money.",0
We should fight nationalism,"Still only 30 years old, Nicholas was a more decisive and risk-taking character than his brother, as well as being far more nationalistic.",0
We should subsidize public transportation,"Many public transportation advocates and planning experts maintain that the project precludes impending access of high-speed rail technology and north-south passenger rail routes such as Front Range Rail, is designed to present logistical complications for both rail and bus commuters, lacks integration of bicycle facilities and an intercity bus station, and is being modeled to perform as a stub-end terminal for current and future intercity rail routes.",0
